text,Reeshan - eval,Reeshad - actionable,Divyansh - eval,Divyansh - actionable,Kirtan
I think the proposed bike lane for 2 Ave NW might even be better than the one described in @TomBabin’s Shifter video of bike lanes in another Calgary neighbourhood. Nice work @cityofcalgary! https://t.co/eBsDOJvMLT https://t.co/ChqaMPzHin,T,FA,y,n,T
"@drkomanduri People are really homing in on the bike path. I don’t know how practical it is as I try to stick to Calgary’s pathways, but it is an option that wasn’t there before.",T,TA,y,n,T
"Great example of what's wrong with Calgary planning/development--you have to fight to do what policy ALREADY SAYS, and even then, you lose. 

Make 3 Ave S a permanent cycle track! #yycbike #yycplan #yyccc @cityofcalgary @yyctransport @YYCTKW https://t.co/4b5BQPOuJE",T,TA,n,-,
@kirstengoa I keep telling city planners every chance I get that 76th Ave. should cross the old tracks into Calgary Trail to become a pedestrian and bike only thorough fair. (no cars),T,TA,y,n,TA
@nenshi Just what we don’t need is more freaking bike or walking paths! This is why Calgary is in ruins because of stupidity like this! Waste of taxpayers dollars!,T,TA,y,n,TA
This video of my daughter and me on Calgary’s 12th ave wheeling lane has been seen by many thousands of people around the world. Don’t discount our ability to inspire better bike infrastructure for others—even if we still have far to go ourselves. #yycbike https://t.co/UpihtwkUyi,T,FA,y,n,T
"NOT BIKE LANES!!! 
😠😡😩😰😭
New Calgary wheeling lanes opposed by some southwest businesses https://t.co/VwQfVHzpdm",T,TA,n,-,
"@SustainableYYC When I was in town back in 2015, I saw lots of pedestrian and bike infrastructure that was better than what we have now in Toronto. Especially all of the bridges across the river. https://t.co/ylVYEk7XbD",T,FA,y,n,T
"Q on cycling and walking paths. 

Hall: appreciates the design of the cycling paths, the systems of older areas are difficult to connect with newer areas. Bike lanes don't work with the flow of traffic, they should have their own area inter-connected throughout Calgary.",T,TA,n,-,
@sinmerchant @BrentToderian I rode all over downtown Toronto this summer. There were bike lanes on every major east west street in both directions &amp; many N/S. I rode at my pace on a heavy upright rent-a-bike. When I got home to #yyc it was so discouraging. We don’t yet belong on these roads.,T,TA,y,n,TA
@CoryBMorgan I get spitting mad about those @$&amp;@/? bike lanes when visiting my parents in calgary 🤡 thanks moronic city council!,T,TA,y,n,T
"@CBCCalgary #Edmonton and #Calgary, under our UN-inspired Mayors &amp; Council #yegcc single-mindedly slash budgets for essential infrastructure while increasing #taxes &amp; reducing services. Yet our cities are torn to shreds by wide swaths of bike lanes as cyclists ride the crumbling sidewalks...",T,TA,y,n,T
"@CWalcottYYC #Calgary needs a lot better sidewalks so our city is more accessible, but if it's bike lanes we're talking about, physical barriers instead of painted lanes should be our focus.",T,TA,y,n,TA
"Alert, the bike talk in Calgary is heating up: ""Why don't we see more cyclists on x route?"" Because the danger is real - either we see it and avoid it or we've come close enough to death due to negligent design and drivers. Every single person who rides a bike regularly carries t",T,FA,y,n,TA
"Looking forward to seeing more protected bike lanes in Calgary this summer! 🚲🤩

#YYCCC the time is now!
@JyotiGondek @YYCTKW @gccarra @peterdemong @JenniferWyness @jasmine_mian @SonyaSharpYYC @RajDhaliwal_YYC @pootmans @kourtpenner @CWalcottYYC @chabot4calgary @Spencerfor12 https://t.co/tmkgTy1g0b",T,FA,n,-,
"@opensourcejoel We're in Calgary this weekend, and I just realized how many bike lanes there are here. That's what a modern city should look like",T,FA,y,n,T
"I know Calgary has some nice separated lanes downtown, but the entire extent of on-street bike lanes is this: https://t.co/GQ1Ek7jyCO",T,FA,y,n,T
"Important message for #YYCCC about city bike infra in this 6 min segment on @CBCEyeopener.

@YYCTKW, @CWalcottYYC, @gccarra, @JyotiGondek, Calgary needs to be ready for ebikes! @yyctransport https://t.co/ZchtFZsSFX",T,TA,n,-,
"Installing shared path or bike/bus lane &amp; sidewalk on Calgary Trail &amp; Gateway Blvd would be a monumental shift to active transportation. 
People going to big box stores on foot, bike or bus, instead of driving and getting stuck in traffic. #YEG https://t.co/NsiQkRCT2n",T,FA,n,-,
"This could be Calgary Trail or Gateway Blvd if our elected officials are ambitious enough. One traffic lane can be converted to protected bidirectional bike lane, so that people who ride to big box stores don't have to drive while encouraging other drivers to make the change #yeg https://t.co/qzS0x2IpOj",T,TA,y,n,TA
"This is the type of thing Calgary should be known for. A fantastic bike into the office today. The CAR lane is fantastic!!

Also the improvements along 24th Ave NW, near the UofC are coming together quite nicely! https://t.co/hb9y9OJLwR",T,FA,n,-,
"@brettbergie Wow, real bike paths, not the cheap cop outs Calgary has developed by disadvantaging motorists and obstructing traffic. I think Calgary's new bike lanes are ill-conceived and counter productive, lack imagination and even lack of safe design. :(",T,TA,y,n,TA
"@Martyupnorth_ The only way to solve Calgary's woes, Bike Lanes Babee!!!",T,FA,y,n,T
@PlaceHadyn Hey Hadyn. Daily reminder there are bike paths in downtown Calgary and you can’t get rid of them!! Oh the horror!!!,T,FA,y,n,T
calgary pedestrians really do be thinking cyclist-only pathways infringe upon their rights and freedoms,T,FA,y,n,F
@sssssshyone I do appreciate the bike lanes in Calgary because it’s been a long while since I have been stuck behind a cyclist while driving in the city.,T,FA,y,n,T
"@KenBoessenkool @JyotiGondek @ryanjespersen The inside control is here.

Incoming Alberta bread lines.

Maybe Calgary and Edmonton can convert all the streets to bike lanes. That should fix it.",T,TA,n,-,
@rainbeausnap @AlbertaBeluga @cspotweet @jvipondmd So you can finally get a bike lane from Edmonton to Calgary?,T,FA,y,n,F
One Twitter thread started a new Airdrie/Calgary bike path. Let's see if a full day of door-knocking with @Matticusssss can help bring a complete multimodal transportation network closer to reality. #yycvote #yyccc https://t.co/QQ1WLBUVch,T,FA,y,n,T
"@andrew_leach Cyclists on roads scare the shit out of me, especially on the 1A out of Calgary.

The small sliver of road they are on, the gravel on the side and the semis whipping by, are terrifying.

We need better infrastructure throughout the city and popular bike routes to ensure safety.",T,TA,n,-,
"@aaronhoyland Calgary did do the working bike lane thing first, but I think we might've passed them.",T,FA,y,n,F
"Building a network with direct routing, and making it safe for cycling is the key to a more vibrant and accessible Calgary. It is inline with change to protect the environment, increase traffic for local business, and a healthier population  #yyc #yycbike https://t.co/OTE5PcJnR0",T,FA,y,n,T
"@HappyintheWest Heh, but at least we have lots of hardly-used bike lanes in Calgary!",T,FA,y,n,T
@CityFredGov Love art and sculpture but love bike lanes more - doesn’t Calgary have a blue circle on one of their Bike Trails? Shouldn’t Fredericton be celebrating their beautiful bike trails with art and sculptures? What’s beautiful about more cars on the road?  We need less cars on the road,T,TA,y,y,T
Calgary why can’t we do this? A network of bike paths that are 80% linked!!! @JyotiGondek @yycbike2school @bikecalgary @ClimateHubYYC @YYC4TranspChoic @awesome_calgary  We can &amp; we must #ClimateCrisis #NetZero #ClimateAction #ClimateEmergency #ClimateJustice #activetransportation https://t.co/Biakf2VyC5,T,TA,y,n,TA
"@Mcmatteo_ Over 1,000 Km’s of bike paths in Calgary already, so look at them to what? #yyccc",T,FA,y,n,T
@PaulDechene *eyes up Calgary and Vancouver bike lanes*,T,FA,y,n,T
@markiemoose @thegarneau @bikeedmonton @michaeljanz @CityofEdmonton I have watched cars turn into bike lanes more than once - today even - in Calgary,T,FA,y,n,T
Biking in #YYC is getting serious. Last summer bike sales went up like never before. Great to see these new lanes and car free streets. Need more of them. Keep it up Calgary! @yyctransport @calgarytransit https://t.co/EfZo089ipq,T,FA,y,n,T
@JeromyYYC Expand Calgary's physically separated cycletrack network into the suburbs so Calgarians that do not live close to great parks can safely cycle to them. #yycbike #equity,T,TA,y,n,T
"I think everyone needs a gentle reminder that bike lanes are not the best place to dump snow.

This is what it looked like all the way up 5 st downtown this morning 

@gccarra @CWalcottYYC @cityofcalgary #yyccc #yycbike https://t.co/3HbHcvMXGp",T,TA,n,-,T
"Its not a scientific analysis, but as a 40 year Calgary bike commuter i would have put Northmount - 10th Street at the very top of my bike infrastructure priority list - not in the pile titled 'if we get some money'. https://t.co/5DCaSBKW3m",T,TA,y,n,T
"Shit. I’d love almost every trip I do by bike to be less stressful, too. At the price of the ring road, I could probably have that exactly everywhere in Calgary, maintained year round, too. https://t.co/2FusdSTvNN",T,FA,y,y,T
"45th Street SW and 41 Ave SW in Calgary is a residential area and a signed bike route no less, yet look at the wide turn radius at this intersection built for speed, putting all road users at risk. Now, watch the short graphic below on the necessary design intervention. https://t.co/C1UrOluG0R https://t.co/NoRGyqKhWg",T,FA,y,y,ta
@calgaryherald It’d be great if they added another 5000km of bike lanes in Calgary… 🙄,T,TA,y,n,T
"@peteremcc @CindylouAB Build a bike lane Jyoti, you are not the PM or Premier.
COME ON CALGARY, YOU COULD HAVE DONE BETTER!!!",T,FA,n,-,
"My wishes: Protected bike lane, dedicated bus lane &amp; frequent bus service, continuous &amp; connected sidewalks on Calgary Trail &amp; Gateway Blvd. Drivers would still have at least 3 lanes.
#yeg #yegbike #yegwalk https://t.co/OPtJq80GJB",T,TA,n,-,
"YYC to Bragg Creek- can we please invest in proper bike trail infrastructure?Driving by bikes, often multiples riding side by side, is frightening. How about a trail like they have for Canmore to Banff? #yycbike #YYC",T,TA,y,y,ta
"@karrieporter @modacitylife @someday_books @TomFloodOne @AlexGanassini I grew up in St. Catharines and live in Calgary. When I visit, I take my bike with, so I've seen the connected network of bike lanes. I'm happy that this and shifting from car-dependency are areas of focus, to make a good system better, and I want to extend you good wishes.",T,FA,y,n,T
"@GlobeDebate We do not, not need anymore bike lane. When Calgary finally gets a new mayor, Calgary can remove half of them!!!",T,TA,y,y,T
@DShepYEG I  like how the tracks are on one side and bike paths get some space on the other. Calgary should have done this too.,T,FA,y,n,ta
"@ChMacArthur @SilveryCurls @laureljeanine @robert_billard @RohanS26656312 I have advocated since the beginning that this is the place to try a car-free tower. Calgary has one and it's great. Lots of bike share, some car share. People who don't want cars choose to live there.",T,FA,y,n,T
"@bikecalgary @itsakev Disappointed, but not surprised, to see the disparity in #yycbike infrastructure in Calgary. This bias is the biggest barrier to the acceptance of cycling as a meaningful transportation alternative in this city.",T,FA,y,n,T
"Cheers: that this route has now opened &amp; provides a safe way to bypass Eau Claire pathway &amp; for many Calgarians to access the residences, businesses &amp; offices along 3rd Ave via #yycbike

Jeers: that it's still referred to as a detour &amp; not a permanent addition to the bike network https://t.co/h5dMYii9k8",T,FA,n,-,
Here's a good article about how the #COVID19 bike lanes helped make Canadian cities such as Toronto more accessible. #BikeTO #ottbike #VeloMTL #BikeWPG #YYCbike #YEGbike #BikeYVR #BikeTwitter #VisionZero https://t.co/LAkasDkymw,T,FA,y,y,T
Interesting to see how walking and cycling are handled in this study of the Upper Levels highway on the North Shore compared with recent work on Deerfoot Trail in Calgary.  #yycbike #yycwalk https://t.co/wbvXlPdUm0,T,FA,y,n,T
"Calgary is looking to adopt a new ""Neighbourhood Streets Pilot Policy"" which could be used to evaluate and implement new projects that calm traffic and create safer routes for walking and wheeling. You can provide feedback until Friday, Dec. 17: https://t.co/iCrUPMK1XX #yycbike",T,TA,y,y,T
Imagine #yegbike if we could have actual pathways along Gateway &amp; Calgary Trail instead of..... nothing.  Not even a sidewalk in most places south of old Strathcona. #yegcc https://t.co/CV4mXWE6yZ,T,TA,y,n,ta
"Bike Calgary, in partnership with the AAN Transportation table, are working on an educational campaign regarding safety on shared pathways. They have come up with a quick survey to gather information to support the campaign: https://t.co/qKpsmnqapM @bikecalgary @CPAlberta https://t.co/CsZy6RxDgV",T,FA,y,y,ta
@klaszus Nose Creek Valley bike/pedestrian infrastructure from 96 Ave North. It’s a disaster. and Airdrie is investigating a bike path to Calgary that would come in through this valley. Also @nose_creek should be a protected park. Instead they are focusing on industrializing it. #Ward3yyc https://t.co/7z5HfeuKSV,T,TA,y,n,T
"@biodegabriel @GlobeDebate No we need less bike lanes. They conjest traffic . In calgary they clear the bike lanes of snow, but not the sidewalks. Morons",T,TA,y,n,T
"@KittEdotca @ManonMasse_Qs I'm definitely in favour of more dedicated bike lanes. Or rewriting rules that don't work. I've always been.

Dedicated lanes are both safe and pleasant.

I commuted by bike in Calgary for a while thanks to what I referred to as the bicycle freeway on 12th Ave SW.",T,FA,n,-,
