text,Kirtan - eval,Kirtan - actionable,Reeshad - eval,Reeshad - actionable,Divyansh - eval,Divyansh - actionable
"Drinking in Calgary's parks: pilot program a success so far with only 1 complaint - Calgary | Glob...
https://t.co/aNRVYKhZFN",,,T,FA,n,-
"Wow. “Starting June 1st, COVID restrictions permitting, you'll be able to drink alcohol in Calgary parks.”  They don’t monitor activity/garbage in parks now, can hardly wait to see how they’re going to handle this. Guess the alderman responsible doesn’t live next door to one. 🤬 https://t.co/NkyAO6OtRQ",T,,T,TA,y,n
Drinking in Calgary parks could soon be a reality https://t.co/LR86419cjg,T,,T,FA,y,n
Calgary should get with the times and join the hip and innovative cities of [checks notes] North Vancouver and Edmonton and allow alcohol in parks without needing to book a picnic site #yyc #yyccc #yycvote https://t.co/S7jkflsakB,ta,,T,TA,y,y
@scryed88 @cityofcalgary I’m the last guy on the planet who would normally be defending the city of Calgary govt but this is a pilot program and they tried to chose parks that would minimize drinking and driving. That being said I agree this should be allowed in all parks and hope it goes well.,T,,T,TA,y,n
Welcome to the 20th century Calgary.... we can finally drink in public parks https://t.co/W87SbMovrS,T,,T,FA,y,n
"Here are some city of Calgary rules for alcohol in parks. 

Mostly common sense. Some times included, too. #yyc #yyccc #calgary 

https://t.co/7hWzjGsZDm",,,T,FA,n,n
@calgarysun What’s it’s matter you can drink at parks now in Calgary anyway,T,,T,FA,y,n
Calgary to Allow Alcohol Consumption in Select City Parks Starting June 1 | To Do Canada https://t.co/uRynPssPvg,T,,T,FA,y,n
You may soon be able to drink booze in some #Calgary parks https://t.co/11OaN3B0Di https://t.co/v9MOvkjc6q,T,,T,FA,y,n
You may soon be able to drink booze in some Calgary parks https://t.co/0vXf7aynbw,T,,T,FA,y,n
You can soon drink booze in select #Calgary parks https://t.co/02JgHpW5p5 https://t.co/6ZUDAa7JgP,T,,T,FA,y,n
"You can soon drink booze in select Calgary parks 

https://t.co/bF7hyf81is",,,T,FA,n,-
"Brutal listening to the pearl-clutchers freaking out because Calgary may allow beer &amp; wine consumption in parks

1. Its already been happening for a long time

2. Many other cities allow it without issue

3. We see it on patios every day (or used to)

4. Get over it Karen!",,,T,FA,n,-
@CKhabsfan @TrentCapelli In Calgary you can drink in some public parks but there are no Beer Stores just stores that sell beer!,T,,T,TA,y,y
Booze may soon be allowed in more Calgary parks https://t.co/upa8lcox9V,T,,T,FA,y,n
Booze may soon be allowed in more Calgary parks https://t.co/4ISbJ5hfpH #yyccc,T,,T,FA,y,n
"The liquor industry enjoys high enough sales. I don't think they need to try and push for park drinking in order to expand. 

The AHS officer for Calgary is into conspiracy theories now. 

Deal with the heroin users in parks &amp; don't sweat citizens who want a beer or wine #yyccc https://t.co/55oJVSq67r",,,T,TA,n,-
"@JoshMatlow @dmrider Is there drinking in parks in Montreal, Vancouver, Calgary, Ottawa?",T,,T,FA,y,n
Councillor suggests Calgary try allowing alcohol consumption in city parks | CBC News https://t.co/PQZcKbxocr @CBCHomestretch @nenshi #cdnpoli #COVID19,T,,T,TA,y,n
You may soon be able to drink booze in some Calgary parks https://t.co/ImBpR25Lj0,T,,T,FA,y,n
"Alberta in a nutshell: Drinking in bars is bad, we need them closed. Today, Calgary permits drinking in parks this Summer. Now that’s business! 😅 https://t.co/Aycjp20WG2",T,,T,FA,y,n
Rules released for alcohol consumption in Calgary parks: #yyccc #COVID19AB https://t.co/uIKtnU6gwo,T,,T,FA,y,n
"Gotta laugh when the city of Calgary has concerns about impaired driving after allowing alcohol in public parks. Citizen safety and health has never been a priority, just $$$ from alcohol sales and tickets for those who drank all their alcohol they bought to consume in public",ta,,T,TA,y,n
Calgary city committee endorses expanding alcohol in parks pilot program – Calgary | https://t.co/u1EDXCKEkL https://t.co/n08BUViUO0,T,,T,FA,y,n
"@THEColeBoyd @ChefMPhillips Calgary expanded their recent pilot program to permanently allow consumption in many city parks. My friends and I have been having inner-city campfires and enjoying a bevy all January, it's safe and inexpensive. I can't imagine where the pushback lies on these issues",T,,T,FA,y,n
Anyone out there against Calgary allowing people to drink in public parks? Writing a story on it and would love to chat with ya!,f,,T,FA,y,n
"Newsflash: 

Those who aren't inclined to responsible drinking are already drinking in Calgary's parks. 

Like so many laws, the ban on beer and wine consumption only hinders responsible people. 

Dump the prohibition mentality.",,,T,TA,n,-
"if Calgary approves alcohol consumption in city parks, let’s not forget to dispose of our bottles and cans properly please!!!!",T,,T,TA,y,y
"City of Calgary, Alta., will test allowing alcohol consumption in city parks this summer (source: CBC News) https://t.co/iXcrEK1PB4",T,,T,FA,y,n
