text,Kirtan,Reeshad - eval,Reeshad - actionable,Divyansh - eval,Divyansh - actionable
"In other words, we have a pedestrian incident almost every 2 days. And yet communities like must fight for pedestrian safety measures. 

#yyc #yyccc #yycwalk https://t.co/Wyec0RJNs2",,T,TA,n,-
So the boulevard is once again mowed (as per @cityofcalgary mandate) &amp;i another close call with a grown ass adult riding their bike on the sidewalk (which is illegal in #yyc if youre over the age of 14) when there's a bike lane 5m away https://t.co/5hkRge8iOW,T,T,FA,y,n
"""Since the incident, the city told the family that lights will be installed at the intersection.""

I hate that making a crosswalk safer only happened after an SUV driver hit and seriously injured a teen. #yycwalk 
https://t.co/W2y1VLQgDE",,T,TA,n,-
"A short video about the worst street in my city, and three attempts over the decades to enable cyclists and pedestrians to cross it
#yyjbike #bikeyvr #yycbike  #yegbike #yxebike #yqrbike #bikewpg #pdxbikes #bikela #bikeTO #ottbike #velomtl #bikemn #bikenyc
https://t.co/qZgqcBZn6U",,F,FA,n,-
"This is why cycling infrastructure is so important, to keep people safe, and create an environment that will promote wider use. Keep in mind #yyccc both these modes of transport are moving one person, and while this was in Denver, it isn't uncommon on #yyc city streets #yycbike https://t.co/zxvUqxHmAP",T,T,FA,y,n
Are engineers and electeds using simple fixes to make crosswalks safer in [your city]? #yycwalk #yycbike https://t.co/wBb866XyDk,?,T,FA,y,n
"But you know, pedestrians need to me more alert...  #yycbike #yyc #WarOnCars https://t.co/fVclTuPbfM",,T,TA,y,n
"@troutwhispers More covid policy stupidity...this is today on Memorial drive in #yyc, all of the south lane is closed for people to walk/ride. No one is using it, there are seperate walking/bike trails right next to the road. Cars are all   Crammed in 2 way traffic. https://t.co/xvUOHoCGcI",TA,T,FA,y,n
"Community Safety Action 4: Smart City Planning

#Spencerfor12 #yyccc #yycliving #yycnow  #yycvotes #yycvote https://t.co/R1SaC6lkPC",,T,FA,n,-
Vehicles must Yield to Cyclists and Pedestrians- is a sign we don’t see often enough! #YYCBike #BrodieBikes https://t.co/qgpi5d1cgI,TA,T,FA,y,y
"Some positivity: seeing terrifying videos of bus drivers elsewhere nearly hitting cyclists makes me truly appreciate @calgarytransit, whose drivers are some of the most careful and courteous on the road. I've had maybe one close call with one over years. 
#yycbike",,T,FA,n,-
