,text,Kirtan - eval,Kirtan - actionable,Reeshad - eval,Reeshad - actionable,Divyansh - eval,Divyansh - actionable,Reeshan - eval,emotion,emotion_score
0,"Drinking in Calgary's parks: pilot program a success so far with only 1 complaint - Calgary | Glob...
https://t.co/aNRVYKhZFN",F,NA,T,NA,F,NA,,anger,0.7704400420188904
1,"Wow. “Starting June 1st, COVID restrictions permitting, you'll be able to drink alcohol in Calgary parks.”  They don’t monitor activity/garbage in parks now, can hardly wait to see how they’re going to handle this. Guess the alderman responsible doesn’t live next door to one. 🤬 https://t.co/NkyAO6OtRQ",T,NA,T,A,T,NA,,joy,0.38090574741363525
2,Drinking in Calgary parks could soon be a reality https://t.co/LR86419cjg,T,NA,T,NA,T,NA,,joy,0.9013569355010986
3,Calgary should get with the times and join the hip and innovative cities of [checks notes] North Vancouver and Edmonton and allow alcohol in parks without needing to book a picnic site #yyc #yyccc #yycvote https://t.co/S7jkflsakB,T,A,T,A,T,A,,joy,0.9956294298171997
4,@scryed88 @cityofcalgary I’m the last guy on the planet who would normally be defending the city of Calgary govt but this is a pilot program and they tried to chose parks that would minimize drinking and driving. That being said I agree this should be allowed in all parks and hope it goes well.,T,NA,T,A,T,NA,,joy,0.9530794620513916
5,Welcome to the 20th century Calgary.... we can finally drink in public parks https://t.co/W87SbMovrS,T,NA,T,NA,T,NA,,joy,0.9962208867073059
6,"Here are some city of Calgary rules for alcohol in parks. 

Mostly common sense. Some times included, too. #yyc #yyccc #calgary 

https://t.co/7hWzjGsZDm",F,NA,T,NA,F,NA,,joy,0.6033830642700195
7,@calgarysun What’s it’s matter you can drink at parks now in Calgary anyway,T,NA,T,NA,T,NA,,joy,0.7643583416938782
8,Calgary to Allow Alcohol Consumption in Select City Parks Starting June 1 | To Do Canada https://t.co/uRynPssPvg,T,NA,T,NA,T,NA,,anger,0.4979706406593323
9,You may soon be able to drink booze in some #Calgary parks https://t.co/11OaN3B0Di https://t.co/v9MOvkjc6q,T,NA,T,NA,T,NA,,joy,0.9470950961112976
10,You may soon be able to drink booze in some Calgary parks https://t.co/0vXf7aynbw,T,NA,T,NA,T,NA,,joy,0.9532092213630676
11,You can soon drink booze in select #Calgary parks https://t.co/02JgHpW5p5 https://t.co/6ZUDAa7JgP,T,NA,T,NA,T,NA,,joy,0.7912164926528931
12,"You can soon drink booze in select Calgary parks 

https://t.co/bF7hyf81is",F,NA,T,NA,F,NA,,joy,0.9419710040092468
13,"Brutal listening to the pearl-clutchers freaking out because Calgary may allow beer &amp; wine consumption in parks

1. Its already been happening for a long time

2. Many other cities allow it without issue

3. We see it on patios every day (or used to)

4. Get over it Karen!",F,NA,T,NA,F,NA,,anger,0.9975233674049377
14,@CKhabsfan @TrentCapelli In Calgary you can drink in some public parks but there are no Beer Stores just stores that sell beer!,T,NA,T,A,T,A,,anger,0.9237640500068665
15,Booze may soon be allowed in more Calgary parks https://t.co/upa8lcox9V,T,NA,T,NA,T,NA,,joy,0.9370691180229187
16,Booze may soon be allowed in more Calgary parks https://t.co/4ISbJ5hfpH #yyccc,T,NA,T,NA,T,NA,,joy,0.9195645451545715
17,"The liquor industry enjoys high enough sales. I don't think they need to try and push for park drinking in order to expand. 

The AHS officer for Calgary is into conspiracy theories now. 

Deal with the heroin users in parks &amp; don't sweat citizens who want a beer or wine #yyccc https://t.co/55oJVSq67r",F,NA,T,A,F,NA,,anger,0.8728938698768616
18,"@JoshMatlow @dmrider Is there drinking in parks in Montreal, Vancouver, Calgary, Ottawa?",T,NA,T,NA,T,NA,,anger,0.9428840279579163
19,Councillor suggests Calgary try allowing alcohol consumption in city parks | CBC News https://t.co/PQZcKbxocr @CBCHomestretch @nenshi #cdnpoli #COVID19,T,NA,T,A,T,NA,,anger,0.5387139916419983
20,You may soon be able to drink booze in some Calgary parks https://t.co/ImBpR25Lj0,T,NA,T,NA,T,NA,,joy,0.9733046293258667
21,"Alberta in a nutshell: Drinking in bars is bad, we need them closed. Today, Calgary permits drinking in parks this Summer. Now that’s business! 😅 https://t.co/Aycjp20WG2",T,NA,T,NA,T,NA,,anger,0.9544855356216431
22,Rules released for alcohol consumption in Calgary parks: #yyccc #COVID19AB https://t.co/uIKtnU6gwo,T,NA,T,NA,T,NA,,anger,0.6699144840240479
23,"Gotta laugh when the city of Calgary has concerns about impaired driving after allowing alcohol in public parks. Citizen safety and health has never been a priority, just $$$ from alcohol sales and tickets for those who drank all their alcohol they bought to consume in public",T,A,T,A,T,NA,,sadness,0.6240754723548889
24,Calgary city committee endorses expanding alcohol in parks pilot program – Calgary | https://t.co/u1EDXCKEkL https://t.co/n08BUViUO0,T,NA,T,NA,T,NA,,joy,0.9237054586410522
25,"@THEColeBoyd @ChefMPhillips Calgary expanded their recent pilot program to permanently allow consumption in many city parks. My friends and I have been having inner-city campfires and enjoying a bevy all January, it's safe and inexpensive. I can't imagine where the pushback lies on these issues",T,NA,T,NA,T,NA,,joy,0.9931946992874146
26,Anyone out there against Calgary allowing people to drink in public parks? Writing a story on it and would love to chat with ya!,f,0.0,T,NA,T,NA,,anger,0.9914585947990417
27,"Newsflash: 

Those who aren't inclined to responsible drinking are already drinking in Calgary's parks. 

Like so many laws, the ban on beer and wine consumption only hinders responsible people. 

Dump the prohibition mentality.",F,NA,T,A,F,NA,,anger,0.5102124214172363
28,"if Calgary approves alcohol consumption in city parks, let’s not forget to dispose of our bottles and cans properly please!!!!",T,NA,T,A,T,A,,joy,0.943086564540863
29,"City of Calgary, Alta., will test allowing alcohol consumption in city parks this summer (source: CBC News) https://t.co/iXcrEK1PB4",T,NA,T,NA,T,NA,,joy,0.42763155698776245
30,Drinking in Calgary parks: what you need to know before you crack a beer https://t.co/r1HWWvWzIo https://t.co/jor93RTW8l,T,NA,T,A,T,NA,,anger,0.8235582709312439
31,"Councillor suggests #Calgary try allowing #alcohol consumption in city parks
 
Read more on: https://t.co/mRskA0pwsB https://t.co/pYOWX3eHaR",F,NA,T,A,F,NA,,anger,0.6150990724563599
