,Unnamed: 0.2,Unnamed: 0,level_0,index,Unnamed: 0.1,Unnamed: 0.1.1,id,author_id,text,hashtags,created_at,geo,like_count,quote_count,reply_count,retweet_count,possibly_sensitive,text_normalized,cluster,distance_from_level_1_centroid,sub_cluster,distance_from_level_2_centroid,emotion,emotion_score,Actionability
1111,1111,1111,10223,13601,13905,1906,1.49E+18,1435662998,Calgary MP says home protest left him concerned about the safety of his family. Why are #calgary politicians so afraid? I thought @cityofcalgary would give them the #whitehatter treatment! Welcome to #yyc | CBC News https://t.co/sUDOStbhp2  #abpoli #Ableg #Calgary #yycroads,#calgary #whitehatter #yyc #abpoli #Ableg #Calgary #yycroads,2022-01-25T02:41:56.000Z,,0,0,0,0,FALSE,calgary mp says home protest left him concerned about the safety of his family. why are calgary politicians so afraid? i thought  would give them the whitehatter treatment! welcome to yyc | cbc news,1,0.945115805,2,0.924230039,fear,0.997504532,F
4581,4581,4581,1489,1879,1908,1908,1.43E+18,365249229,Closed Parks - Branching Out Tree Program request at 27 Evansglen Pa NW https://t.co/Ev6uiRIoiP. Completed - close sr. https://t.co/ZOlidfmmTY,,2021-08-10T16:54:47.000Z,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.096272, 51.1783539]}}",0,0,0,0,FALSE,closed parks - branching out tree program request at 27 evansglen pa nw . completed - close sr. ,5,0.968552053,3,0.961224556,sadness,0.39264378,T
7798,7798,7798,7888,10397,10603,10603,1.38E+18,3000598092,"520 #yycbike trips were counted on street on Mon Mar 29

Busiest:
5th at CPR: 153
2nd and 12th: 91
5th and 5th: 72
*Incomplete Data",#yycbike,2021-03-30T12:32:26.000Z,,0,0,0,0,FALSE,520 yycbike trips were counted on street on mon mar 29busiest5th at cpr 1532nd and 12th 915th and 5th 72*incomplete data,11,0.896650791,1,0.810285151,sadness,0.466301382,T
3062,3062,3062,6210,8133,8285,8285,1.39E+18,365249229,"Opened Debris - Street, Sidewalk, Boulevard request via iphone at 148 Saddlelake Mr NE https://t.co/8XdrzxE2P6. Garbage on stoney trail bike path starting from saddleridge school to mcknight blvd. the trail has garbage all down the path. https://t.co/pKWNCvtQM2",,2021-05-06T00:17:09.000Z,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-113.9227394, 51.12977102]}}",0,0,0,0,FALSE,"opened debris - street, sidewalk, boulevard request via iphone at 148 saddlelake mr ne . garbage on stoney trail bike path starting from saddleridge school to mcknight blvd. the trail has garbage all down the path. ",3,0.935395777,6,1.018499732,anger,0.748311698,T
1668,1668,1668,10621,14145,14470,2471,1.48E+18,1702579824,"“When you think about Calgary and the direction we are heading, it’s really around being a catalyst to something that is much larger.”

@neofinancial is taking 110,000 square feet off of the table today. 
#YYC #yyccc #yyctech #yycplan https://t.co/QXvDL9CqYP",#YYC #yyccc #yyctech #yycplan,2022-01-12T13:34:04.000Z,,6,0,1,1,FALSE,"when you think about calgary and the direction we are heading, its really around being a catalyst to something that is much larger. is taking 110,000 square feet off of the table today.",1,0.801630139,10,0.946630955,joy,0.69067198,F
1307,1307,1307,6628,8701,8866,8866,1.39E+18,22308602,"March 2020: UCP cut $4mil from Parks &amp; closed visitor centres/reduced staff
April 2021: UCP needs $90/year park pass to keep up with ""massive surge"" of visitors.
#abparks #ableg #abpoli #yyc https://t.co/H0jm9QNrSA https://t.co/HWUXxuYYg5",#abparks #ableg #abpoli #yyc,2021-04-27T16:13:48.000Z,,5,0,0,4,FALSE,"march 2020 ucp cut $4mil from parks &amp; closed visitor centres/reduced staffapril 2021 ucp needs $90/year park pass to keep up with ""massive surge"" of visitors.",1,1.016260505,5,0.898814797,sadness,0.834071815,T
5473,5473,5473,5447,7113,7235,7235,1.40E+18,416389109,Get out this weekend and explore some new bike trails with the kids around Calgary: BIKING AROUND CALGARY WITH KIDS - The Best Family Pathways and Trails https://t.co/mVaUFo18ed #Calgary #biking https://t.co/Os3LJe84vQ,#Calgary #biking,2021-05-21T02:01:01.000Z,,0,0,0,0,FALSE,get out this weekend and explore some new bike trails with the kids around calgary biking around calgary with kids - the best family pathways and trails,7,0.946926177,6,1.098481417,joy,0.997113109,F
8785,8785,8785,11451,15247,15603,3604,1.47E+18,2688537468,cycling is only 2min slower than driving #yycbike #thinkpastthewindshield https://t.co/AwM3IGYT51,#yycbike #thinkpastthewindshield,2021-12-17T00:02:39.000Z,,7,0,4,0,FALSE,cycling is only 2min slower than driving,12,1.100051165,5,0.884726286,fear,0.833527148,T
1004,1004,1004,11088,14779,15121,3122,1.48E+18,17492117,Calgary's approach to snow clearing our roads is like if my 16 year old slacker son were in charge of it. #meh #closeenough #yycroads,#meh #closeenough #yycroads,2021-12-28T02:22:52.000Z,,4,0,0,0,FALSE,calgary's approach to snow clearing our roads is like if my 16 year old slacker son were in charge of it.,1,0.865114748,0,1.087997556,anger,0.632906556,T
10401,10401,10401,5419,7075,7195,7195,1.40E+18,1.33E+18,"Have a Safe and Relaxing Victoria Day Weekend. 
*
*
*
*
#yyc #yycliving  #longweekend #victoriaday #cirrealtor #cirrealty #realtorlife #listed #sold #yycrealestatemarket @ Calgary, Alberta https://t.co/B2KbgmEuAO",#yyc #yycliving #longweekend #victoriaday #cirrealtor #cirrealty #realtorlife #listed #sold #yycrealestatemarket,2021-05-21T18:49:19.000Z,,0,0,0,0,FALSE,"have a safe and relaxing victoria day weekend. ****yyc yycliving  longweekend victoriaday cirrealtor cirrealty realtorlife listed sold yycrealestatemarket @ calgary, alberta ",13,1.047463894,9,1.290156126,joy,0.996742785,F
5818,5818,5818,13597,18151,18575,6576,1.45E+18,7.95E+17,"@Christi79494602 @Spin_Assassin She was elected for many reasons, being a supporter of oil and gas was not one of them.  I predict more bike lanes to solve Calgary's problems.",,2021-10-21T13:46:08.000Z,,2,0,1,0,FALSE,"  she was elected for many reasons, being a supporter of oil and gas was not one of them.  i predict more bike lanes to solve calgary's problems.",7,0.944559991,14,0.988349319,joy,0.847454906,F
7858,7858,7858,4492,5779,5875,5875,1.40E+18,3000598092,"3230 #yycbike trips were counted on MUPs on Wed Jun 09

Busiest:
Peace Bridge: 1021
NBR near 19 St NW: 874
Glenmore Resv: 595

**",#yycbike,2021-06-10T12:32:50.000Z,,0,0,0,0,FALSE,3230 yycbike trips were counted on mups on wed jun 09busiestpeace bridge 1021nbr near 19 st nw 874glenmore resv 595**,11,0.838645816,3,0.902691424,joy,0.388057679,T
1452,1452,1452,14587,19486,19927,7928,1.44E+18,21037096,Alberta Parks confirms a section of Elbow-Sheep Wildland Provincial Park in Kananaskis Country has been closed to the public after a hiker was attacked by a grizzly bear Sunday afternoon. #yyc @Albertaparks @CTVRyanWhite  https://t.co/NPnzvshh9b,#yyc,2021-09-27T16:14:20.000Z,,6,0,1,11,FALSE,alberta parks confirms a section of elbow-sheep wildland provincial park in kananaskis country has been closed to the public after a hiker was attacked by a grizzly bear sunday afternoon.,1,1.029228449,8,1.060915351,fear,0.954585135,F
5952,5952,5952,6220,8147,8299,8299,1.39E+18,9.79E+17,"The conversation has been one-sided so far. Afternoon session starts at 1:20 p.m. #yyc #yyccc #calgary #yycplan

https://t.co/VrsJKlrBJp",#yyc #yyccc #calgary #yycplan,2021-05-05T18:58:35.000Z,,2,0,0,1,FALSE,the conversation has been one-sided so far. afternoon session starts at 120 p.m.,8,1.08241725,0,0.97850877,anger,0.992048681,F
9973,9973,9973,5958,7794,7930,7930,1.39E+18,1.35E+18,"Calgary Edibles Delivery!  2 hours or less to your place today #YYC!

https://t.co/8yQj54HLd0

#calgary #yycnow #yycliving https://t.co/WnSHU8iXuO",#YYC #calgary #yycnow #yycliving,2021-05-11T02:45:03.000Z,,0,0,0,0,FALSE,calgary edibles delivery!  2 hours or less to your place today yyc!,13,1.056120753,5,1.179812312,joy,0.965382159,F
8836,8836,8836,3257,4156,4228,4228,1.41E+18,29624552,"@ruebyretro There are ""conenuts"" on the hub itself to adjust how tights the axle actually is.
I can't remember, is there still a bike co-op in Calgary?
In Edmonton I would just say it's 50¢ (maybe $1) for bearings, plus an hour at bikeworks.",,2021-07-05T19:36:40.000Z,,1,0,0,0,FALSE," there are ""conenuts"" on the hub itself to adjust how tights the axle actually is.i can't remember, is there still a bike co-op in calgary?in edmonton i would just say it's 50 (maybe $1) for bearings, plus an hour at bikeworks.",12,1.05052793,6,0.642506063,joy,0.89735949,F
8896,8896,8896,11379,15158,15512,3513,1.47E+18,1543156008,"I did a bike ride city centre to a suburban hardware store in Christchurch, inspired by @TomBabin and @notjustbikes great videos of Plus 1 Minus 2 in Calgary and Amsterdam. Video uploading to youtube... Maybe they will take it and score Christchurch NZ! https://t.co/15Ctjbh3G0 https://t.co/DEcSb3OXkd",,2021-12-18T11:59:44.000Z,,7,0,0,1,FALSE,"i did a bike ride city centre to a suburban hardware store in christchurch, inspired by  and  great videos of plus 1 minus 2 in calgary and amsterdam. video uploading to youtube... maybe they will take it and score christchurch nz!  ",12,0.898099959,7,0.754929304,joy,0.99627018,F
8828,8828,8828,232,292,295,295,1.43E+18,1.32E+18,Revolutions For Research Charity Bike Ride - Calgary | https://t.co/WVGce9Ewnc - https://t.co/WVGce9Ewnc #Calgary #Transit #YYC https://t.co/p0Mv6YctvG,#Calgary #Transit #YYC,2021-09-04T16:27:38.000Z,,0,0,0,0,FALSE,revolutions for research charity bike ride - calgary |  -,12,0.888923645,6,0.609251797,joy,0.857679427,T
3531,3531,3531,13351,17831,18249,6250,1.45E+18,18982486,"TRAFFIC: Crash in in the SW on Glenmore Tr, EB approaching 14 St, is off on the RHS. #yyc #yyctraffic #yycroads #abroads #660traffic https://t.co/Fcr65zUWD7",#yyc #yyctraffic #yycroads #abroads #660traffic,2021-10-27T14:07:12.000Z,,0,0,0,0,FALSE,"traffic crash in in the sw on glenmore tr, eb approaching 14 st, is off on the rhs.",3,1.006926417,13,0.877312362,fear,0.986528397,T
5722,5722,5722,13058,17426,17833,5834,1.46E+18,16841286,"It’s so weird how Calgary conservatives have made supporting a confessed child molester a core value of their politics just because he hates bike lanes. 

Like, Brent Wilson knows he could just not stand up for the rapist, right? #yyc #yyccc",#yyc #yyccc,2021-11-04T16:09:05.000Z,,10,0,2,0,FALSE,"its so weird how calgary conservatives have made supporting a confessed child molester a core value of their politics just because he hates bike lanes. like, brent wilson knows he could just not stand up for the rapist, right?",7,0.904773891,12,1.059183121,anger,0.712624669,F
3544,3544,3544,12339,16440,16834,4835,1.46E+18,378757208,"A some slick conditions on some routes this morning. 
⬇️⬇️⬇️ #yyc #yycroads https://t.co/lbYciitplt",#yyc #yycroads,2021-11-24T13:36:17.000Z,,4,0,2,2,FALSE,a some slick conditions on some routes this morning.,3,0.960596263,13,0.90601331,anger,0.87788868,F
5808,5808,5808,9983,13252,13547,1548,1.49E+18,1585761,"...Google, why do you think the best way to bike from here to DC is through Calgary? https://t.co/HvTYTxJImb",,2022-02-01T17:16:22.000Z,,14,0,10,0,FALSE,"...google, why do you think the best way to bike from here to dc is through calgary? ",7,0.873573482,14,0.95484972,joy,0.935468912,F
833,833,833,9553,12679,12940,941,1.49E+18,112794611,Happy Valentine’s Day ❤️ We have a great menu for you this week starting with Butter Chicken tonight and featuring our Mom’s Chocolate Cake all week #eatlocal #mardaloop #yycfood #yyceats #yyctakeout #yycliving #yyc #supportlocalyyc https://t.co/LfFVJjefhb,#eatlocal #mardaloop #yycfood #yyceats #yyctakeout #yycliving #yyc #supportlocalyyc,2022-02-14T21:32:04.000Z,,6,0,0,0,FALSE,happy valentines day  we have a great menu for you this week starting with butter chicken tonight and featuring our moms chocolate cake all week,0,1.12179935,16,0.966094315,joy,0.998531699,F
9010,9010,9010,10639,14167,14492,2493,1.48E+18,1.40E+18,"2022’s 1st bike tag 🏷 #75 by Relentess One. Hint: Inspired by warm winter winds
.
#calgary #exploreyyc #bikecalgary #calgarybike #cyclingcalgary #calgarycycling #yyc #yycbike #yyccycling #yyccycle #yycvelo #yycride #yycphat #bikebikeyyc #pedalyyc #yycnow #yycliving https://t.co/Ast9ShGYqw",#calgary #exploreyyc #bikecalgary #calgarybike #cyclingcalgary #calgarycycling #yyc #yycbike #yyccycling #yyccycle #yycvelo #yycride #yycphat #bikebikeyyc #pedalyyc #yycnow #yycliving,2022-01-11T19:45:41.000Z,{'place_id': '53504716d445dcad'},1,0,1,0,FALSE,2022s 1st bike tag  75 by relentess one. hint inspired by warm winter winds.,12,0.946996629,8,0.812220812,joy,0.997505724,T
