,Unnamed: 0,id,author_id,text,hashtags,created_at,geo,like_count,quote_count,reply_count,retweet_count,possibly_sensitive,Actionability
15927,3928,1.47E+18,335964354,"A downtown full of delivery warehouses? ‘Dark stores’ are coming to Boston. Fascinating article that poses important questions about how we fill vacant space &amp; the impacts those decisions have on downtown vibrancy. @thomcal #yycplan
https://t.co/LthNs5JWWX via @BostonGlobe",#yycplan,2021-12-10T19:52:05.000Z,,8,1,1,4,FALSE,F
17130,5131,1.46E+18,438896146,So much goodness here! New permanent supportive housing ✅ Partnerships ✅ Adaptive reuse ✅ Downtown vibrancy ✅ Commitment to making all Calgarians have a home ✅✅✅ #yycplan ❤️ https://t.co/Vw7IxtIVEQ,#yycplan,2021-11-18T19:36:42.000Z,{'place_id': '53504716d445dcad'},26,0,0,4,FALSE,F
7471,7471,1.39E+18,1685880318,"Experience our community centre renovations: new virtual tour at,  https://t.co/F97dcxbLdm, let us host your next event #riverbendyyc #yyccommunity #yycca #yycliving #calgaryevents #yyc #calgary #yycevents #yycnow #calgarylife #yycliving #yyclocal #yyclife  #calgaryliving https://t.co/7nHa6XGmuY",#riverbendyyc #yyccommunity #yycca #yycliving #calgaryevents #yyc #calgary #yycevents #yycnow #calgarylife #yycliving #yyclocal #yyclife #calgaryliving,2021-05-17T16:02:20.000Z,,2,0,0,0,FALSE,F
10783,10783,1.38E+18,1.16E+18,"#yycbike #yycpathwayreport
Not much ice on the downtown pathways today! Clearing in progress, leaving a wet but non frozen base. I haven't been out of downtown yet.",#yycbike #yycpathwayreport,2021-03-26T16:37:11.000Z,,5,0,1,0,FALSE,F
16263,4264,1.47E+18,18999809,$14.7 million in funding announced to fight invasive species in Alberta mountain parks https://t.co/jAmnNAOCvz,,2021-12-04T21:51:40.000Z,,7,2,4,2,FALSE,F
11134,11134,1.37E+18,1.31E+18,"Each of us plays a vital role in protecting our  parks.  
Be considerate of other visitors and leave what you find. ⁣⁣
#LoveABParx  #hike365 
#albertarockies #abparks #yeg #yyc #travelalberta 
#keepitwild #thegreatoutdoors  #mykcountry #makemoments 

DM for📸credit https://t.co/lxzpdmQtYl",#LoveABParx #hike365 #albertarockies #abparks #yeg #yyc #travelalberta #keepitwild #thegreatoutdoors #mykcountry #makemoments,2021-03-21T17:00:00.000Z,,0,0,0,0,FALSE,F
15148,3149,1.48E+18,74296453,"Off the Wall @vanscanada @blinebikepark
.
.
#bmx #bmxtricks #tabletop #bikes #yycnow #yyc #yycphotographer #yycbikes #yycliving #nooffseason #offthewall #possibilities #totalbmx #eclatbmx #coffee @ Calgary, Alberta https://t.co/7VN5S2uzgP",#bmx #bmxtricks #tabletop #bikes #yycnow #yyc #yycphotographer #yycbikes #yycliving #nooffseason #offthewall #possibilities #totalbmx #eclatbmx #coffee,2021-12-27T15:13:42.000Z,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.057, 51.045]}}",0,0,0,1,FALSE,F
8450,8450,1.39E+18,1.34E+18,"Flow's first Mountain Bike Skills clinic of the season is on May 8 in Calgary! 2 spots have opened up, therefore you should join us if you're a beginner mtn biker looking to develop your skills!

https://t.co/U4Ch3TXu0v

@BCKOR @XCBraggCreek @mmbtsinfo#yyc #yeg #calgary #alberta https://t.co/amJhPJkFNl",#yeg #calgary #alberta,2021-05-03T16:31:15.000Z,"{'place_id': '78eade64798c0031', 'coordinates': {'type': 'Point', 'coordinates': [-115.376128, 51.0918656]}}",2,0,0,0,FALSE,F
15982,3983,1.47E+18,293526047,Again?! That's a 3 km detour... #yycbike @yyctransport https://t.co/YCEMwRf6m9,#yycbike,2021-12-09T20:22:50.000Z,,5,0,2,0,FALSE,A
10223,10223,1.38E+18,206457337,"#Firefighters and #ecologists teamed up to save an #owl #egg from an ashtray over Easter weekend | CBC News https://t.co/VHqw5o8ErB ""Lake Louise parks staff safely created a new nest for the mama owl and her egg """,#Firefighters #ecologists #owl #egg,2021-04-06T15:01:52.000Z,,2,0,0,1,FALSE,F
