,Unnamed: 0,id,author_id,text,hashtags,created_at,geo,like_count,quote_count,reply_count,retweet_count,possibly_sensitive,Actionability
17978,5979,1.46E+18,438896146,@DruhFarrell ❤️❤️❤️ #yycplan https://t.co/CsXbDrzrQL,#yycplan,2021-11-01T20:44:00.000Z,,5,0,0,0,FALSE,FALSE
8147,8147,1.39E+18,1354634546,We’ve been AMA members for a while &amp; learned about this a couple years ago. Nice to know they help non-motorized transport as well. 😃👍🏻👍🏻 #yyc #yycbike #yegbike https://t.co/6qaZbnXCMk,#yyc #yycbike #yegbike,2021-05-07T21:21:44.000Z,,2,0,0,1,FALSE,TRUE
6846,6846,1.40E+18,2860749516,"Today's the day! 

If you haven't yet, you can still sign up!
Share your burning questions with us when you register (open until 6:30PM): https://t.co/4Wl834m3zT #yyccc #yyc #yycplan",#yyccc #yyc #yycplan,2021-05-27T15:22:00.000Z,,0,0,0,0,FALSE,FALSE
20052,8053,1.44E+18,293526047,I really regret not taking a picture - the fall colors in the Weaselhead are stunning right now. #yycbike,#yycbike,2021-09-25T01:26:58.000Z,,12,0,0,0,FALSE,FALSE
14026,2027,1.48E+18,1.47E+18,"Intensive Anti-Aging: https://t.co/fuWoyMXz7n 
.
#Canada #BritishColumbia #Alberta #Saskatchewan #Manitoba #Ontario #Quebec #NewBrunswick #NovaScotia #Newfoundland #Yukon #shareyyc #calgary #yyc #yycnow #yycliving #yycbuzz #exploreberta #downtownvancouver #calgaryliving #Toronto https://t.co/nbBNmUHqvH",#Canada #BritishColumbia #Alberta #Saskatchewan #Manitoba #Ontario #Quebec #NewBrunswick #NovaScotia #Newfoundland #Yukon #shareyyc #calgary #yyc #yycnow #yycliving #yycbuzz #exploreberta #downtownvancouver #calgaryliving #Toronto,2022-01-21T21:43:24.000Z,,0,0,0,1,FALSE,FALSE
3292,3292,1.42E+18,1.41E+18,Launches Bike Challenge in Banff to Raise Funds for Children’s Cancer Care – Calgary https://t.co/OWhXLIXRkv,,2021-07-19T01:22:19.000Z,,0,0,0,0,FALSE,TRUE
8531,8531,1.39E+18,1.13E+18,"@ElizabethUKRPG
YourMajesty
""ClimateChange=LoveAtFirstSight=PolarBearMeetsGrizzlyBear=PizzlyBear=YouCanHearThemComing=InnerBearBells*""
https://t.co/deOkFJyY5r
*https://t.co/cvAEeTVe7p
*https://t.co/ukIG3idgk0
*https://t.co/TCIHGI0pol",,2021-05-01T19:06:58.000Z,,0,0,0,0,FALSE,FALSE
14815,2816,1.48E+18,2231946043,Creek in Banff that was reduced to a trickle by Minnewanka dam almost restored | CBC News https://t.co/5FsjiLEH8H,,2022-01-04T17:39:01.000Z,,1,0,0,2,FALSE,TRUE
12301,302,1.50E+18,50316238,"#yycpathwayreport #yycbike (0530): Trace snow on Bow north, Nose creek and Fox Hollow. Got a little deeper the farther east and north I went. Note that this cover hides all the puddles that have become ice overnight. If you don't know your route be cautious.",#yycpathwayreport #yycbike,2022-03-02T13:59:47.000Z,,6,0,1,0,FALSE,TRUE
6361,6361,1.40E+18,1.38E+18,"Wow, long overdue so glad to see these parks coming to our great city! Will you and your children be visiting these parks? (comment below)
#yycdads #yycmoms #yycliving #yycnow #yyc #calgary #yycevents #yycrealestate #yychomes #calgaryalberta #calgarybuzz

https://t.co/TVQ7NJbMU1",#yycdads #yycmoms #yycliving #yycnow #yyc #calgary #yycevents #yycrealestate #yychomes #calgaryalberta #calgarybuzz,2021-06-03T04:47:05.000Z,,0,0,0,0,FALSE,TRUE
4721,4721,1.41E+18,4875878016,"@nucksjaysnraps @TheBlueGem3 My other neighbour arrived from Calgary last night. 
He loves this....he even went out for a bike ride.🤦‍♀️🥵
He's a surgeon and knows what he is doing. These two left coasters go to the pool early then hibernate inside for the rest of the day",,2021-06-26T21:20:16.000Z,,2,0,0,0,FALSE,FALSE
20433,8434,1.44E+18,1.18E+18,STOLEN - Black Trek DS 19 Black 17 in Bowness https://t.co/1rA3MxId5i #yycbike,#yycbike,2021-09-18T19:18:05.000Z,,0,0,0,0,FALSE,TRUE
20960,8961,1.44E+18,18984207,"In the SE, expect delays on NB Deerfoot. #yyctraffic #yycroads https://t.co/wva5Fipt6S",#yyctraffic #yycroads,2021-09-10T22:40:45.000Z,,0,0,1,0,FALSE,TRUE
2866,2866,1.42E+18,1.18E+18,STOLEN - Orange Hyper Viking Trail MTB Hard Tail in Alyth/Bonnybrook/Manchester https://t.co/208AnZbHV9 #yycbike https://t.co/RsHqsYF7ko,#yycbike,2021-07-25T21:12:22.000Z,,0,0,0,0,FALSE,TRUE
20827,8828,1.44E+18,1.18E+18,STOLEN - Red GT Bicycles Karakoram  in Northwest Calgary https://t.co/TxnyQFgX18 #yycbike,#yycbike,2021-09-12T18:55:38.000Z,,0,0,0,0,FALSE,TRUE
3020,3020,1.42E+18,107880199,"Happy Friday! Why not ring in the weekend with a tasty brunch? 😋🍳🥞

#RedsDiner #brunch #brunching #wethefourth #breakfast #yum #tgif #yyceats #yycliving #patio #patioseason #diner #goodeats https://t.co/6x5BIVoirY",#RedsDiner #brunch #brunching #wethefourth #breakfast #yum #tgif #yyceats #yycliving #patio #patioseason #diner #goodeats,2021-07-23T14:02:09.000Z,,1,0,0,1,FALSE,FALSE
17214,5215,1.46E+18,382947250,Here are the recommended improvements from administration to expand the city's alcohol in parks program. #YYC #YYCcc @GlobalCalgary https://t.co/NlmAU92ZVY,#YYC #YYCcc,2021-11-17T17:20:58.000Z,,0,0,1,0,FALSE,TRUE
